loading train-split scenarios per topology to fit signature libraries...
  golden-reference: signature artifact ready in 0.0s (cache_hit=True)
  branched-loop: signature artifact ready in 10.4s (cache_hit=False)
  loop-grid: signature artifact ready in 12.6s (cache_hit=False)
validated topology hashes: 3
processing 9000 scenarios from split=train (0 already done)
  4850/9000 done, 2.05/s
  4875/9000 done, 2.05/s
  4900/9000 done, 2.05/s
  4925/9000 done, 2.06/s
  4950/9000 done, 2.06/s
  4975/9000 done, 2.06/s
  5000/9000 done, 2.06/s
  5025/9000 done, 2.06/s
  5050/9000 done, 2.06/s
  5075/9000 done, 2.06/s
  5100/9000 done, 2.07/s
  5125/9000 done, 2.07/s
  5150/9000 done, 2.07/s
  5175/9000 done, 2.07/s
  5200/9000 done, 2.07/s
  5225/9000 done, 2.07/s
  5250/9000 done, 2.08/s
  5275/9000 done, 2.08/s
  5300/9000 done, 2.08/s
  5325/9000 done, 2.08/s
  5350/9000 done, 2.08/s
  5375/9000 done, 2.08/s
  5400/9000 done, 2.09/s
  5425/9000 done, 2.09/s
  5450/9000 done, 2.09/s
  5475/9000 done, 2.09/s
  5500/9000 done, 2.09/s
  5525/9000 done, 2.09/s
  5550/9000 done, 2.09/s
  5575/9000 done, 2.09/s
  5600/9000 done, 2.09/s
  5625/9000 done, 2.09/s
  5650/9000 done, 2.10/s
  5675/9000 done, 2.10/s
  5700/9000 done, 2.10/s
  5725/9000 done, 2.10/s
  5750/9000 done, 2.10/s
  5775/9000 done, 2.10/s
  5800/9000 done, 2.10/s
  5825/9000 done, 2.10/s
  5850/9000 done, 2.10/s
  5875/9000 done, 2.11/s
  5900/9000 done, 2.11/s
  5925/9000 done, 2.11/s
  5950/9000 done, 2.11/s
  5975/9000 done, 2.11/s
  6000/9000 done, 2.11/s
  6025/9000 done, 2.11/s
  6050/9000 done, 2.11/s
  6075/9000 done, 2.11/s
  6100/9000 done, 2.11/s
  6125/9000 done, 2.11/s
  6150/9000 done, 2.11/s
  6175/9000 done, 2.11/s
  6200/9000 done, 2.11/s
  6225/9000 done, 2.11/s
  6250/9000 done, 2.11/s
  6275/9000 done, 2.11/s
  6300/9000 done, 2.11/s
  6325/9000 done, 2.11/s
  6350/9000 done, 2.12/s
  6375/9000 done, 2.11/s
  6400/9000 done, 2.12/s
  6425/9000 done, 2.12/s
  6450/9000 done, 2.12/s
  6475/9000 done, 2.12/s
  6500/9000 done, 2.12/s
  6525/9000 done, 2.12/s
  6550/9000 done, 2.12/s
  6575/9000 done, 2.12/s
  6600/9000 done, 2.12/s
  6625/9000 done, 2.12/s
  6650/9000 done, 2.12/s
  6675/9000 done, 2.12/s
  6700/9000 done, 2.12/s
  6725/9000 done, 2.12/s
  6750/9000 done, 2.12/s
  6775/9000 done, 2.12/s
  6800/9000 done, 2.12/s
  6825/9000 done, 2.12/s
  6850/9000 done, 2.12/s
